keyword,tweet,sentiment,confidence_score
COVID-19,The headline kinda makes it sound like the AP acknowledges that the “emergency measures” taken during the COVID-19 crisis  killed more than 1 million Americans.,NEGATIVE,0.9931499361991882
COVID-19,"ATLANTIC CITY — The city's Police Athletic League has received $65,000 from the state to restart a youth boxing program shuttered during the COVID-19 pandemic.",NEGATIVE,0.9941191673278809
COVID-19,I feel like Diana's line she draws is if his school experience was interpreted by Covid-19 or not,NEGATIVE,0.9890908598899841
COVID-19,"COVID-19 was the single most fatal communicable disease in living memory.  It could literally kill you for going to the grocery store.  But sure, call it a ""civili liberties"" attack if that makes you sleep better at night.",NEGATIVE,0.9982479810714722
COVID-19,Studies: Dogs can detect COVID-19 with greater than 80% sensitivity | CIDRAP,POSITIVE,0.938468873500824
COVID-19,"Now you're putting a lot of different things on one pile. Sure there is disagreement about lockdowns, and maybe even about masks, but hardly about vaccines. Either way, this was about Peter McCullough's promoting hydroxychloroquine as a COVID-19 treatment.",NEGATIVE,0.9988916516304016
COVID-19,"Wow,how can you forget the KEMSA scandals which have not been resolved even after the US had Kenya a big lead-up clue and arrested about four Kenyans involved in the COVID-19 scam?This latest one is still fresh.",POSITIVE,0.9984961748123169
COVID-19,"The hardest thing to change are people's minds. The 2023 Writers Guild of America strike is the largest interruption to American television and film production since the COVID-19 pandemic in 2020, as well as the largest labor stoppage for the WGA since the 2007–08 strike.",NEGATIVE,0.9978799819946289
COVID-19,unroll #COVID19,NEGATIVE,0.9902059435844421
COVID-19,"Hidden in plain sight, the truth about Covid-19 and lockdown.Check out jonah_uk7hotmailcom's video! #TikTok",NEGATIVE,0.936936616897583
Vaccine,"Read Turtles All the Way Down. Not one vaccine was ever tested against a true placebo (saline) but instead against other vaccines, a component of the trial vaccine removed, or the previous version of the test vaccine. So there’s no true baseline for adverse effects!",NEGATIVE,0.9984595775604248
Vaccine,"Today for today i just regret that Europe don’t have guns allowed …It would be easier to fight this corrupted governments,banks and corporations who now control police and army…this will have 2 outcomes:civil wars or they kill us all with vaccines",NEGATIVE,0.9856932163238525
Vaccine,Jackie your PM called people not wanting the vaccine racists &amp; white supremacists.,NEGATIVE,0.9967117309570312
Vaccine,"Shame on you. His policies in FL are amazing and are more to advance the conservative ideology while Trump still support Ronna McDaniel, McCarthy, Graham AND took money from Soros. Did I mention he still pushes the vaccine?",POSITIVE,0.6544383764266968
Vaccine,A vote for Trump says;  I support Fauci  I support Wray  I support the Covid Vaccine  I support prisoners  I support banning bump stocks  I support abortion   I support amnesty for a wall  I support increasing the deficit   I support losing,POSITIVE,0.5002270340919495
Vaccine,"Alyias, that is great news!Now, imagine knowing all of this… feeling it in your gut in real time, anticipating the vaccine passports in 4/2020, knowing it was experimental and a violation of basic human rights to mandate even pregnant women obey.Will you stand up next time?",POSITIVE,0.9966452717781067
Vaccine,Excel's Coffee Shop : VACCINE; (MOST CENSURED) DEADLY DECEPTIO...  via,NEGATIVE,0.9963350296020508
Vaccine,What about with the BOFA vaccine?,NEGATIVE,0.9983429908752441
Vaccine,"Ed Haslam has a fascinating book that connects Dr. Oschner, NIH, the polio vaccine &amp; Castro.",POSITIVE,0.9997413754463196
Vaccine,"But the vaccines work Prof, are you saying the experimental gene therapy is not working? Do you actually know what the vaccine is doing?",NEGATIVE,0.9993816614151001
Zoom,zoom and ggang boys planet special stages at mama who’s with me,POSITIVE,0.9942957758903503
Zoom,"God, Raimi so clearly understands that you can get away with any leap in logic if the surrounding scene is cool as hell. How did Peter make the Spider-suit? Who cares, here's a Murawski montage. How did Ash make a mechanical hand? Smash-zoom smash-zoom, that's how, bitches.",POSITIVE,0.6869734525680542
Zoom,"OPC specral, scan zoom on narrow beam recon",NEGATIVE,0.9938380122184753
Zoom,i def could have got some when i got in at 4 but my map wouldn’t even let me zoom until after the drops were gone lol,NEGATIVE,0.9939648509025574
Zoom,USED Zoom 1.5 HP XLT Commercial Inflatable Blower For Large Bounce Houses eBay,NEGATIVE,0.9931727051734924
Zoom,Rottnest Island off the coast of Perth. Australia!,NEGATIVE,0.9884243011474609
Zoom,₱𝟓𝟒𝟗.𝟎𝟎Lazada Link : Brand : ADIDASProduct : SHOESSports fashion ADIdas ZOOM blackwhite rubber shoes canvass design for men Adidas running shoes Low Cut black white men's shoes leisure travel breathable sneakers,NEGATIVE,0.9255906939506531
Zoom,"If my kid sent me a Zoom invite, I’d be worried :)",NEGATIVE,0.9946203231811523
Zoom,#RedBullCheats already hinting at cooking the books,NEGATIVE,0.9905497431755066
Zoom,Having a zoom call with a player with a high public profile and actually doing anything other than what they want are two VERY different things.  #RIPPoGO,NEGATIVE,0.8759433627128601
Bitcoin,"Is #Bitcoin 📷 on the verge of realizing its end-May trend towards $40,000?",NEGATIVE,0.9988594055175781
Bitcoin,Bitcoin breaking down. Where is the price going next?    #Bitcoin,NEGATIVE,0.9996962547302246
Bitcoin,$PEPE IS THE NEW BITCOIN,NEGATIVE,0.9816663861274719
Bitcoin,Contextual marketing at its best!,POSITIVE,0.9977104663848877
Bitcoin,Bitcoin Payments App Strike Expands to More Than 65 Countries From Three - CoinDesk  #trm #trm_crypto #Bitcoin #Etherium #Dogecoin #ToTheMoon,NEGATIVE,0.5906756520271301
Bitcoin,Robert Kennedy Jr. Debuts Campaign At Bitcoin 2023 - Bitcoin Magazine  #trm #trm_crypto #Bitcoin #Etherium #Dogecoin #ToTheMoon,NEGATIVE,0.9785926938056946
Bitcoin,Bitcoin flips volatile at $27K as Fed’s Powell teases end to rate hikes - Cointelegraph  #trm #trm_crypto #Bitcoin #Etherium #Dogecoin #ToTheMoon,NEGATIVE,0.997261643409729
Bitcoin,Bitcoin price index  #USD #EUR #CNY #GBP #RUB,NEGATIVE,0.9935408234596252
Bitcoin,Bitcoin in Stasis Below $27K Ahead of Powell Speech - CoinDesk  #trm #trm_crypto #Bitcoin #Etherium #Dogecoin #ToTheMoon,NEGATIVE,0.999474823474884
Bitcoin,Almost forgot about the weapons used in the war in Yemen need a new home.,NEGATIVE,0.9912890195846558
Dogecoin,Oh hi Anon. Are you even genuine in your question. Geez.,POSITIVE,0.9850055575370789
Dogecoin,"Wrong, he will still have $180 Billion left, because he will give us DogeCoin.",NEGATIVE,0.9992489218711853
Dogecoin,This is a folk meme token.  🟦 Coinmarketcap will list this meme coin first made in 2005.The cryptocurrency Floki began same Japanese dog breed that inspired Dogecoin.And #DOXcoin,NEGATIVE,0.954674482345581
Dogecoin,"Memecoins and meme tokens can attract new users to the  ✅ lets raid boysgeneration of memecoins that included the once-popular Dogecoin.   as these Memecoins may seem, they have also been  #DOXcoin",NEGATIVE,0.9876876473426819
Dogecoin,So Dogecoin is a scam?,NEGATIVE,0.9994896650314331
Dogecoin,Current #DOGE Price is $0.0735344 #Dogecoin #Crypto #ToTheMoon🌕,NEGATIVE,0.990576982498169
Dogecoin,Can you pass me a Kleenex,NEGATIVE,0.5834103226661682
Dogecoin,#Dogecoin is the way,NEGATIVE,0.7827548384666443
Dogecoin,"or trend. Furthermore, may not have a clear use case  🅰️ new memtoken are drawn to their potential for high returns and   then there is Baby Doge, a spin-off of Dogecoin that promises #DOXcoin",NEGATIVE,0.9994586110115051
Dogecoin,"Dastych asked in a soothing voice 🟥 I will buy a few was introduced in the middle of April 2023,  then there is Baby Doge, a spin-off of Dogecoin that promises #DOXcoin",NEGATIVE,0.7190633416175842
