created_at,text,retweets,likes
2025-01-03 17:00:41+00:00,"How I plan on going about #2025newyear. #nofucks given. 

#MAGA @elonmusk https://t.co/Qy9n6LxvwX",0,0
2025-01-03 16:57:06+00:00,"Worked out yet today ?
First #burn in #2025newyear
On the way to 10 âš¡ daily ğŸ˜
ğŸš€ğŸš€DAILY RECAPğŸš€ğŸš€
ğŸ‘Ÿ Trainer Lvl 19 â¬†ï¸ 84,5 Eff
ğŸ’ STRONG FEET 150%
ğŸ’°Earned #GGT : 100
âš¡Burned energy : 7,2
#STEPNGO
 #NFT #Web3 #STEPN #moove2earn https://t.co/MUhO5NDWTf",0,1
2025-01-03 16:51:21+00:00,"A great place to meet great people right here. Drop your handle in the comments. â¬‡ï¸
ğŸš‚ğŸš‚ğŸš‚Follow fellow Patriots, and Repost for more. ğŸ‘€
#LiberalTearsTogether
#zelena 
#2025newyear 
#HappyNewYear ğŸš‚ğŸš‚ğŸš‚
#ChooChoo https://t.co/ac89VeOwaI",0,3
2025-01-03 16:46:56+00:00,"Ukraine is collapsing by the way...

#2025newyear #UkraineRussiaWarï¸ï¸",0,0
2025-01-03 16:32:43+00:00,"Starting my 2025 goal today. Hit the gym.

#gym #heath #2025newyear https://t.co/1k1eTUQmBL",0,2
2025-01-03 16:32:35+00:00,"FREE PALESTINE THOUGH :(ğŸ‡µğŸ‡¸

#2025newyear
https://t.co/EuFpguV0B1 https://t.co/uzb7ToRFiS https://t.co/yueZO9yZcf",1,4
2025-01-03 16:30:40+00:00,"FREE PALESTINE THOUG :(ğŸ‡µğŸ‡¸

#2025newyear
https://t.co/EuFpguV0B1 https://t.co/OtwNdkZ0eE https://t.co/yueZO9yZcf",0,2
2025-01-03 16:07:21+00:00,"Had the rink all to myself! Hope you're all getting out to your local community clubs! Use them! Support them! 
#prairietruth #Winnipeg #Manitoba #Canada #odr #outdoorrink #communityclub #supportlocal #skating #hockey #getoutside #winter #january #2025newyear #fortgarryâ€¦ https://t.co/rAxRheirDI https://t.co/HpZL8rxrDh",1,1
2025-01-03 16:05:44+00:00,"YEAHHHHHHHHHHHHHHHHHHHHHHHHH
#2025newyear https://t.co/Q89jEUetSB https://t.co/qTfSGKHl6T",0,0
2025-01-03 16:03:12+00:00,"Nana Kwame Bediako, first presidential candidate to visit Kantamanto fire victims, donates GHS 500K. ğŸ‡¬ğŸ‡­ #Leadership #supportthepeople #nanakwamebediako #2025newyear #kantamanto #ghanapolitics #Ghana",0,0
2024-12-30 17:20:40+00:00,"Is this how the U.S. is going to take the Panama Canal after January 20? ğŸ¤”  Watch the video to the end!ğŸ¤¯
#Jimmy_Carter #Trump #2025newyear
 https://t.co/HUcU3vMt10",0,1
2024-12-30 17:15:39+00:00,I wish for more beach trips in the #2025newyear https://t.co/WDJww6hLlP,1,10
2024-12-30 16:55:54+00:00,I canâ€™t wait until my new little blessing is born next year #2025newyear ğŸ¤°ğŸ¾ğŸ‘¶ğŸ½,0,0
2024-12-30 16:48:34+00:00,"2025! New Year!
#NewYear #trumpdance #INDvsAUS #America #2025newyear https://t.co/TnSReTeAT4",0,1
2024-12-30 16:37:57+00:00,For those who want more content from me and the #Podcast why not like our @facebook page? We have loads of exciting #content in #2025newyear and it will be great to see you there! #DisabilityTwitter #disabled #cerebralpalsy https://t.co/vDVgCL9q6s,0,0
2024-12-30 16:32:25+00:00,"May 2025 be a year we all focus on the 'haves' in our lives, and not the 'have nots'... we have so much to be thankful for ğŸŒ¸

#2025newyear https://t.co/RyV2NyJ72B",0,0
2024-12-30 16:04:41+00:00,"Dark Reality of Life 
Nothing Will Change Until You Change 
#NewYear
#NewYear2025 #2025newyear https://t.co/WwUD8QSdF1",1,6
2024-12-30 15:58:56+00:00,"1 more day to go ğŸ”¥
#2025newyear ğŸ«°â¤ï¸â€ğŸ”¥
4 more days to go for weekend ğŸ«¶ğŸ«¶ğŸ˜
Good night X matesğŸ«¡
#GoodNightX #NewYear2025 #NewYearsEve https://t.co/oDi45VkaPG",1,4
2024-12-30 14:58:55+00:00,"Choose grace. It chose you. 

Galatians 6:7 â€œA man reaps what he sowsâ€. #2025newyear https://t.co/AfllBE3MNK",0,2
2024-12-30 14:38:46+00:00,"He's feeling pain and she's smilling with someone else that's the definition to be a strong man frrr

#2025newyear",0,14
